created_at|text|text_truncated|source|retweet_count|favorite_count|link
Tue Nov 22 15:40:31 +0000 2016|The meeting with the @nytimes is back on at 12:30 today. Look forward to it!|False|"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"|7090|33321|https://twitter.com/realdonaldtrump/status/801087976889520128
Tue Nov 22 13:39:46 +0000 2016|"'Jeff Sessions, a Fitting Selection for Attorney General'
https://t.co/LjKTkAZSFy"|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|10400|37335|https://twitter.com/realdonaldtrump/status/801057586162319360
Tue Nov 22 13:38:17 +0000 2016|"'President-elect Donald J. Trump's CIA Director Garners Praise'
https://t.co/UFdLWtwBEQ https://t.co/MrPaG7OziQ"|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|8509|30692|https://twitter.com/realdonaldtrump/status/801057215226544128
Tue Nov 22 11:46:57 +0000 2016|Great meetings will take place today at Trump Tower concerning the formation of the people who will run our government for the next 8 years.|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|16827|79582|https://twitter.com/realdonaldtrump/status/801029194906038272
Tue Nov 22 11:36:46 +0000 2016|The failing @nytimes just announced that complaints about them are at a 15 year high. I can fully understand that - but why announce?|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|11733|48928|https://twitter.com/realdonaldtrump/status/801026635579424768
Tue Nov 22 11:31:18 +0000 2016|Perhaps a new meeting will be set up with the @nytimes. In the meantime they continue to cover me inaccurately and with a nasty tone!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|9289|38269|https://twitter.com/realdonaldtrump/status/801025256487940096
Tue Nov 22 11:16:45 +0000 2016|I cancelled today's meeting with the failing @nytimes when the terms and conditions of the meeting were changed at the last moment. Not nice|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|17083|67370|https://twitter.com/realdonaldtrump/status/801021596228091905
Tue Nov 22 02:22:16 +0000 2016|Many people would like to see @Nigel_Farage represent Great Britain as their Ambassador to the United States. He would do a great job!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|21844|65030|https://twitter.com/realdonaldtrump/status/800887087780294656
Tue Nov 22 02:14:21 +0000 2016|Prior to the election it was well known that I have interests in properties all over the world.Only the crooked media makes this a big deal!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|18633|78201|https://twitter.com/realdonaldtrump/status/800885097775955974
Mon Nov 21 23:58:06 +0000 2016|.@transition2017 update and policy plans for the first 100 days. https://t.co/HTgPXfPWeJ|False|"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>"|41092|100538|https://twitter.com/realdonaldtrump/status/800850810490023937
Sun Nov 20 14:05:01 +0000 2016|I have always had a good relationship with Chuck Schumer. He is far smarter than Harry R and has the ability to get things done. Good news!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|11283|54825|https://twitter.com/realdonaldtrump/status/800339165829283840
Sun Nov 20 13:39:05 +0000 2016|"General James ""Mad Dog"" Mattis, who is being considered for Secretary of Defense, was very impressive yesterday. A true General's General!"|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|21347|81351|https://twitter.com/realdonaldtrump/status/800332639844659201
Sun Nov 20 13:26:04 +0000 2016|I watched parts of @nbcsnl Saturday Night Live last night. It is a totally one-sided, biased show - nothing funny at all. Equal time for us?|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|15771|67987|https://twitter.com/realdonaldtrump/status/800329364986626048
Sun Nov 20 11:44:23 +0000 2016|Numerous patriots will be coming to Bedminster today as I continue to fill out the various positions necessary to MAKE AMERICA GREAT AGAIN!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|13779|67151|https://twitter.com/realdonaldtrump/status/800303776615854080
Sun Nov 20 11:22:34 +0000 2016|The cast and producers of Hamilton, which I hear is highly overrated, should immediately apologize to Mike Pence for their terrible behavior|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|25041|102883|https://twitter.com/realdonaldtrump/status/800298286204723200
